COOPID, YEAR, MONTH, DAY, maxTemp
88788,2016,7,4,92.00000
88788,2016,7,5,92.00000
88788,2016,7,6,94.00000
88788,2016,7,7,90.00000
88788,2016,7,8,94.00000
88788,2016,7,9,92.00000
88788,2016,7,10,91.00000
88788,2016,7,11,94.00000
88788,2016,7,12,94.00000
88788,2016,7,13,93.00000
88788,2016,7,14,92.00000
88788,2016,7,15,92.00000
88788,2016,7,16,92.00000
88788,2016,7,17,96.00000
88788,2016,7,18,95.00000
88788,2016,7,19,93.00000
88788,2016,7,20,93.00000
88788,2016,7,21,94.00000
88788,2016,7,22,92.00000
88788,2016,7,23,89.00000
88788,2016,7,24,90.00000
88788,2016,7,25,90.00000
88788,2016,7,26,92.00000
88788,2016,7,27,95.00000
88788,2016,7,28,93.00000
88788,2016,7,29,90.00000
88788,2016,7,30,89.00000
88788,2016,7,31,93.00000
88788,2016,8,1,92.00000
88788,2016,8,2,94.00000
88788,2016,8,3,90.00000
88788,2016,8,4,88.00000
88788,2016,8,5,89.00000
88788,2016,8,6,86.00000
88788,2016,8,7,82.00000
88788,2016,8,8,82.00000
88788,2016,8,9,81.00000
88788,2016,8,10,91.00000
88788,2016,8,11,91.00000
88788,2016,8,12,92.00000
88788,2016,8,13,92.00000
88788,2016,8,14,91.00000
88788,2016,8,15,95.00000
88788,2016,8,16,94.00000
88788,2016,8,17,94.00000
88788,2016,8,18,92.00000
88788,2016,8,19,93.00000
88788,2016,8,20,90.00000
88788,2016,8,21,91.00000
88788,2016,8,22,92.00000
88788,2016,8,23,95.00000
88788,2016,8,24,90.00000
88788,2016,8,25,94.00000
88788,2016,8,26,95.00000
88788,2016,8,27,94.00000
88788,2016,8,28,95.00000
88788,2016,8,29,91.00000
88788,2016,8,30,90.00000
88788,2016,8,31,78.00000
88788,2016,9,1,84.00000
88788,2016,9,2,84.00000
88788,2016,9,3,86.00000
88788,2016,9,4,91.00000
88788,2016,9,5,91.00000
88788,2016,9,6,92.00000
88788,2016,9,7,92.00000
88788,2016,9,8,93.00000
88788,2016,9,9,95.00000
88788,2016,9,10,95.00000
88788,2016,9,11,95.00000
88788,2016,9,12,93.00000
88788,2016,9,13,89.00000
88788,2016,9,14,90.00000
88788,2016,9,15,90.00000
88788,2016,9,16,90.00000
88788,2016,9,17,91.00000
88788,2016,9,18,91.00000
88788,2016,9,19,91.00000
88788,2016,9,20,91.00000
88788,2016,9,21,91.00000
88788,2016,9,22,91.00000
88788,2016,9,23,93.00000
88788,2016,9,24,93.00000
88788,2016,9,25,91.00000
88788,2016,9,26,90.00000
88788,2016,9,27,90.00000
88788,2016,9,28,88.00000
88788,2016,9,29,88.00000
88788,2016,9,30,89.00000
88788,2016,10,1,89.00000
88788,2016,10,2,91.00000
88788,2016,10,3,87.00000
88788,2016,10,4,90.00000
88788,2016,10,5,92.00000
88788,2016,10,6,87.00000
88788,2016,10,7,83.00000
88788,2016,10,8,89.00000
88788,2016,10,9,90.00000
88788,2016,10,10,85.00000
88788,2016,10,11,84.00000
88788,2016,10,12,87.00000
88788,2016,10,13,89.00000
88788,2016,10,14,88.00000
88788,2016,10,15,88.00000
88788,2016,10,16,90.00000
88788,2016,10,17,90.00000
88788,2016,10,18,89.00000
88788,2016,10,19,88.00000
88788,2016,10,20,88.00000
88788,2016,10,21,86.00000
88788,2016,10,22,76.00000
88788,2016,10,23,79.00000
88788,2016,10,24,80.00000
88788,2016,10,25,80.00000
88788,2016,10,26,86.00000
88788,2016,10,27,86.00000
88788,2016,10,28,85.00000
88788,2016,10,29,86.00000
88788,2016,10,30,88.00000
88788,2016,10,31,87.00000
88788,2016,11,1,87.00000
88788,2016,11,2,88.00000
88788,2016,11,3,86.00000
88788,2016,11,4,87.00000
88788,2016,11,5,84.00000
88788,2016,11,6,84.00000
88788,2016,11,7,82.00000
88788,2016,11,8,83.00000
88788,2016,11,9,81.00000
88788,2016,11,10,82.00000
88788,2016,11,11,80.00000
88788,2016,11,12,80.00000
